timestamp	asset_composition	asset_amounts	total_portfolio_value	pnl	return	apr	net_gain_vs_hold	capital_used_in_trading	total_capital_locked	lp_fees_earned	trading_fees_paid	gas_fees_paid	max_drawdown	max_gain	impermanent_loss	asset_exposure	rebalancing_actions	notes
1747764000000	cbBTC,USDC	0.05168056,5123.50	10698.52	698.52	6.985177	24.18	116.738930	10567.41	10567.41	131.108305	0.000000	0.000000	7.184052	7.565832	-0.151251	0.00	0	
1747767600000	cbBTC,USDC	0.05168056,5123.50	10787.49	787.49	7.874895	24.29	115.405427	10655.48	10655.48	132.005256	0.000000	0.000000	7.449970	7.874895	-0.198495	0.00	0	
1747771200000	cbBTC,USDC	0.05168056,5123.50	10786.06	786.06	7.860576	24.34	116.013353	10653.49	10653.49	132.562800	0.000000	0.000000	7.449970	7.874895	-0.197366	0.00	0	
1747774800000	cbBTC,USDC	0.05168056,5123.50	10772.10	772.10	7.721009	24.39	116.877878	10639.04	10639.04	133.061255	0.000000	0.000000	7.449970	7.874895	-0.189249	0.00	0	
1747778400000	cbBTC,USDC	0.05168056,5123.50	10778.49	778.49	7.784854	24.42	117.175472	10644.98	10644.98	133.509187	0.000000	0.000000	7.449970	7.874895	-0.192565	0.00	0	
1747782000000	cbBTC,USDC	0.05168056,5123.50	10776.98	776.98	7.769846	24.41	117.470249	10643.22	10643.22	133.759616	0.000000	0.000000	7.449970	7.874895	-0.191584	0.00	0	
1747785600000	cbBTC,USDC	0.05168056,5123.50	10775.93	775.93	7.759269	24.44	117.941060	10641.73	10641.73	134.192677	0.000000	0.000000	7.449970	7.874895	-0.190751	0.00	0	
1747789200000	cbBTC,USDC	0.05168056,5123.50	10765.10	765.10	7.650952	24.42	118.408703	10630.71	10630.71	134.381236	0.000000	0.000000	7.449970	7.874895	-0.184642	0.00	0	
1747792800000	cbBTC,USDC	0.05168056,5123.50	10783.04	783.04	7.830415	24.44	118.333274	10648.29	10648.29	134.750925	0.000000	0.000000	7.449970	7.874895	-0.194427	0.00	0	
1747796400000	cbBTC,USDC	0.05168056,5123.50	10782.63	782.63	7.826327	24.41	118.478402	10647.75	10647.75	134.882371	0.000000	0.000000	7.449970	7.874895	-0.194123	0.00	0	
1747800000000	cbBTC,USDC	0.05168056,5123.50	10809.10	809.10	8.090969	24.46	118.383741	10673.65	10673.65	135.443690	0.000000	0.000000	7.634978	8.090969	-0.208933	0.00	0	
1747803600000	cbBTC,USDC	0.05168056,5123.50	10822.35	822.35	8.223459	24.48	118.407727	10686.55	10686.55	135.794319	0.000000	0.000000	7.748053	8.223459	-0.216482	0.00	0	
1747807200000	cbBTC,USDC	0.05168056,5123.50	10834.68	834.68	8.346751	24.49	118.476466	10698.51	10698.51	136.165882	0.000000	0.000000	7.853031	8.346751	-0.223584	0.00	0	
1747810800000	cbBTC,USDC	0.05168056,5123.50	10770.47	770.47	7.704698	24.54	120.641621	10633.78	10633.78	136.691749	0.000000	0.000000	7.853031	8.346751	-0.186332	0.00	0	
1747814400000	cbBTC,USDC	0.05168056,5123.50	10762.43	762.43	7.624308	24.51	120.962197	10625.62	10625.62	136.805852	0.000000	0.000000	7.853031	8.346751	-0.181850	0.00	0	
1747818000000	cbBTC,USDC	0.05168056,5123.50	10749.44	749.44	7.494436	24.50	121.539132	10612.40	10612.40	137.047766	0.000000	0.000000	7.853031	8.346751	-0.174679	0.00	0	
